Date,Time,Volume_Sensor_2003,Volume_Sensor_2004,Volume_Sensor_2005,Volume_Sensor,Speed_Sensor_2282,Speed_Sensor_2293,Volume_Total,Volume_Avg,Speed_Avg
02/07/2015,1045,64,1200,818,604,70.0,74.5,2686,671.5,72.25
02/09/2015,1630,64,1013,778,749,76.3,71.5,2604,651.0,73.9
02/09/2015,1615,75,1129,887,785,76.3,75.5,2876,719.0,75.9
02/07/2015,1030,75,919,811,620,70.0,68.5,2425,606.25,69.25
02/07/2015,1000,77,1043,815,614,59.2,70.6,2549,637.25,64.9
02/09/2015,1545,77,1090,699,883,69.1,72.2,2749,687.25,70.65
02/09/2015,1715,78,1006,978,877,77.7,63.4,2939,734.75,70.55
02/07/2015,1130,78,1123,784,614,64.6,72.5,2599,649.75,68.55
02/09/2015,1745,84,818,1058,909,75.5,61.0,2869,717.25,68.25
02/07/2015,1200,84,993,900,653,70.3,78.1,2630,657.5,74.19999999999999
02/07/2015,1115,86,1114,992,556,77.4,72.5,2748,687.0,74.95
02/09/2015,1700,86,930,960,743,75.5,34.5,2719,679.75,55.0
02/09/2015,1645,90,1005,902,711,76.3,77.0,2708,677.0,76.65
02/07/2015,1100,90,1030,897,602,77.4,41.7,2619,654.75,59.550000000000004
02/07/2015,1145,92,1130,932,581,67.3,73.8,2735,683.75,70.55
02/09/2015,1730,92,857,881,927,77.0,76.3,2757,689.25,76.65
02/07/2015,1230,100,1081,950,491,70.9,63.9,2622,655.5,67.4
02/10/2015,900,100,814,715,1076,76.3,54.0,2705,676.25,65.15
02/07/2015,1015,101,1023,883,648,59.2,75.2,2655,663.75,67.2
02/09/2015,1600,101,1164,697,945,69.1,71.8,2907,726.75,70.44999999999999
02/07/2015,915,106,1232,1241,579,70.0,74.8,3158,789.5,72.4
02/09/2015,1500,106,1119,967,1010,72.2,35.1,3202,800.5,53.650000000000006
02/07/2015,930,106,771,901,616,67.6,77.0,2394,598.5,72.3
02/07/2015,1245,106,1085,820,545,73.5,68.2,2556,639.0,70.85
02/10/2015,915,106,777,777,712,76.3,39.0,2372,593.0,57.65
02/09/2015,1515,106,1107,569,1148,72.2,72.8,2930,732.5,72.5
02/09/2015,1800,107,745,1234,958,72.8,37.3,3044,761.0,55.05
02/07/2015,1215,107,1114,915,702,69.1,67.0,2838,709.5,68.05
02/07/2015,945,107,994,867,643,67.6,73.8,2611,652.75,70.69999999999999
02/09/2015,1530,107,1182,673,879,69.1,73.8,2841,710.25,71.44999999999999
02/07/2015,900,126,888,1005,523,70.0,75.5,2542,635.5,72.75
02/09/2015,1445,126,1093,837,815,72.2,30.5,2871,717.75,51.35
02/10/2015,930,139,734,806,455,77.0,50.9,2134,533.5,63.95
02/07/2015,1300,139,872,790,586,72.8,72.5,2387,596.75,72.65
02/10/2015,945,162,719,943,649,70.9,74.2,2473,618.25,72.55000000000001
02/07/2015,1315,162,902,875,692,67.3,68.8,2631,657.75,68.05
02/07/2015,1330,194,1022,734,516,73.5,70.0,2466,616.5,71.75
