Date,Time,Speed_Sensor_2282,Speed_Sensor_2293
2015-02-05,1445,35.3,70.9
2015-02-06,915,38.8,23.7
2015-02-06,930,38.8,23.3
2015-02-05,1800,40.4,67.6
2015-02-06,900,40.4,47.9
2015-02-08,1600,48.8,72.8
2015-02-05,1500,49.4,73.1
2015-02-06,945,52.9,24.2
2015-02-06,1000,52.9,15.2
2015-02-04,1400,53.6,68.2
2015-02-08,1615,54.9,71.5
2015-02-05,1515,56.1,64.6
2015-02-09,1030,57.1,50.3
2015-02-09,1015,57.1,77.4
2015-02-09,1045,57.1,72.5
2015-02-06,1100,58.5,72.8
2015-02-06,1045,5B.5,35.5
2015-02-05,1745,58.5,74.5
2015-02-10,1445,59.2,69.1
2015-02-07,1015,59.2,75.2
2015-02-07,1000,59.2,70.6
2015-02-05,1645,59.8,71.8
2015-02-04,1445,61.2,73.1
2015-02-06,1545,61.2,71.2
2015-02-03,1030,61.2,73.8
2015-02-03,1015,61.2,71.8
2015-02-10,1230,61.2,71.5
2015-02-06,1130,61.4,74.8
2015-02-06,1115,61.4,68.5
2015-02-04,1715,61.7,33.9
2015-02-04,1730,61.7,58.3
2015-02-06,1330,61.9,23.3
2015-02-05,1545,61.9,69.7
2015-02-06,1315,61.9,15.8
2015-02-05,1430,62.4,70.9
2015-02-05,930,62.6,74.2
2015-02-05,945,62.6,72.2
2015-02-04,1530,62.6,70.6
2015-02-04,1515,62.6,69.1
2015-02-03,1630,62.9,71.5
2015-02-08,1015,62.9,67.9
2015-02-08,1715,63.1,66.8
2015-02-08,1700,63.1,74.5
2015-02-03,1615,63.1,70.6
2015-02-04,1245,63.1,74.5
2015-02-03,1045,63.1,64.9
2015-02-05,900,63.6,73.1
2015-02-05,915,63.6,71.2
2015-02-08,930,63.6,37.7
2015-02-06,1215,63.6,80.1
2015-02-06,1230,63.6,77.4
2015-02-09,1100,63.6,70
2015-02-05,1130,63.6,66.5
2015-02-09,1130,63.6,72.2
2015-02-09,1115,63.6,72.2
2015-02-06,1145,63.9,72.8
2015-02-06,1200,63.9,72.8
2015-02-08,1745,64.1,70.9
2015-02-04,1745,64.1,49.1
2015-02-04,1800,64.1,66
2015-02-05,1200,64.1,68.5
2015-02-08,1245,64.1,74.8
2015-02-08,1730,64.1,62.1
2015-02-08,1000,64.1,37.7
2015-02-04,1630,64.1,70
2015-02-04,1615,64.1,76.6
2015-02-03,1530,64.4,28.6
2015-02-10,1330,64.4,71.5
2015-02-05,1600,64.4,69.7
2015-02-07,1130,64.6,72.5
2015-02-06,1015,64.9,19
2015-02-06,1030,64.9,24.5
2015-02-06,1245,64.9,81.3
2015-02-06,1300,64.9,26.6
2015-02-04,1500,65.1,71.5
2015-02-07,1645,65.1,22
2015-02-08,1800,65.1,72.5
2015-02-09,900,65.1,69.1
2015-02-08,1645,65.7,68.8
2015-02-03,1545,65.7,28.6
2015-02-08,1630,65.7,74.5
2015-02-08,1230,65.7,74.8
2015-02-04,1415,66,71.2
2015-02-08,1130,66,69.7
2015-02-08,1115,66,69.7
2015-02-03,1230,66.2,72.5
2015-02-03,1515,66.2,28.7
2015-02-03,1200,66.2,71.8
2015-02-08,1215,66.2,69.4
2015-02-03,1215,66.2,71.2
2015-02-03,1500,66.2,28.7
2015-02-03,1115,66.2,68.2
2015-02-03,1445,66.2,24
2015-02-03,1145,66.2,70.6
2015-02-03,1130,66.2,73.8
2015-02-03,1100,66.2,70
2015-02-03,900,66.5,64.6
2015-02-04,1215,66.5,72.5
2015-02-08,915,66.8,17.8
2015-02-08,945,66.8,37.7
2015-02-08,1300,66.8,74.8
2015-02-06,1515,67,67.9
2015-02-10,1500,67,69.1
2015-02-05,1030,67.3,71.8
2015-02-03,1245,67.3,73.1
2015-02-05,1045,67.3,71.2
2015-02-07,1315,67.3,68.8
2015-02-07,1145,67.3,73.8
2015-02-04,1600,67.3,70.9
2015-02-04,1545,67.3,73.1
2015-02-06,1500,67.6,72.5
2015-02-03,1745,67.6,72.8
2015-02-07,930,67.6,77
2015-02-07,945,67.6,73.8
2015-02-05,1700,67.9,70
2015-02-08,900,67.9,17.8
2015-02-09,1300,67.9,75.5
2015-02-03,1330,67.9,74.8
2015-02-04,945,67.9,68.8
2015-02-03,930,67.9,74.5
2015-02-03,915,67.9,74.5
2015-02-09,1230,67.9,79.3
2015-02-09,1245,67.9,69.7
2015-02-03,1730,68.2,72.8
2015-02-08,1330,68.5,74.8
2015-02-04,1315,68.5,74.2
2015-02-07,1545,68.5,43.6
2015-02-10,1630,68.5,77.7
2015-02-04,1300,68.5,72.5
2015-02-09,915,68.5,69.1
2015-02-09,930,68.5,75.5
2015-02-08,1100,68.8,69.7
2015-02-08,1030,68.8,67.9
2015-02-06,1400,68.8,28.4
2015-02-06,1715,68.8,58.9
2015-02-06,1345,68.8,20.6
2015-02-06,1730,68.8,44.6
2015-02-10,1245,68.8,71.5
2015-02-09,1200,68.8,72.8
2015-02-09,1215,68.8,70.3
2015-02-09,1145,68.8,72.8
2015-02-10,1730,68.8,76.3
2015-02-09,1545,69.1,72.2
2015-02-09,1530,69.1,73.8
2015-02-03,1345,69.1,48
2015-02-03,1300,69.1,68.2
2015-02-09,1600,69.1,71.8
