Date,Time,Volume_Sensor_2003,Volume_Sensor_2004,Volume_Sensor_2005,Volume_Sensor_2006
02/07/15,1045,64,1200,818,604
02/09/15,1630,64,1013,778,749
02/09/15,1615,75,1129,887,785
020715,1030,75,919,811,620
02/07/15,1000,77,1043,815,614
02/09/15,1545,77,1090,699,883
02/09/15,1715,78,1006,978,877
02/07/15,1130,78,1123,784,614
02/09/15,1745,84,818,1058,909
02/07/15,1200,84,993,900,653
02/07/15,1115,86,1114,992,556
02/09/15,1700,86,930,960,743
02/09/15,1645,90,1005,902,711
02/07/15,1100,90,1030,897,602
02/07/15,1145,92,1130,932,581
02/09/15,1730,92,857,881,927
02/07/15,1230,100,1081,950,491
02/10/15,900,100,814,715,1076
02/07/15,1015,101,1023,883,648
02/09/15,1600,101,1164,697,945
02/07/15,915,106,1232,1241,579
02/09/15,1500,106,1119,967,1010
02/07/15,930,106,771,901,616
02/07/15,1245,106,1085,820,545
02/10/15,915,106,777,777,712
02/09/15,1515,106,1107,569,1148
02/09/15,1800,107,745,1234,958
02/07/15,1215,107,1114,915,702
02/07/15,945,107,994,867,643
02/09/15,1530,107,1182,673,879
02/07/15,900,126,888,1005,523
02/09/15,1445,126,1093,837,815
02/10/15,930,139,734,806,455
02/07/15,1300,139,872,790,586
02/10/15,945,162,719,943,649
02/07/15,1315,162,902,875,692
02/07/15,1330,194,1022,734,516
02/10/15,1000,194,793,721,824
02/07/15,1345,197,1036,718,569
02/10/15,1015,197,987,618,719
02/07/15,1415,221,1146,1085,639
02/10/15,1045,221,859,636,648
02/10/15,1030,236,1046,655,927
02/07/15,1400,236,1040,650,613
02/07/15,1430,246,1218,846,680
02/10/15,1100,246,958,628,730
02/07/15,1600,264,1128,906,681
02/10/15,1230,264,890,823,767
02/10/15,1215,296,1097,978,705
02/07/15,1545,296,1071,908,802
02/10/15,1200,298,1232,960,707
02/07/15,1530,298,1075,924,776
02/07/15,1615,329,1001,961,702
02/10/15,1245,329,898,950,747
02/07/15,1445,345,1327,914,654
02/10/15,1115,345,987,887,733
02/07/15,1500,359,1035,927,709
02/10/15,1130,359,863,778,486
02/10/15,1315,374,953,1173,668
02/10/15,1330,374,1007,628,626
02/07/15,1645,374,1028,547,712
02/07/15,1700,374,1063,517,780
02/10/15,1145,380,888,902,431
02/07/15,1515,380,1133,895,717
02/10/15,1300,406,1300,913,662
02/07/15,1630,406,1039,520,733
02/10/15,1345,414,1011,710,832
02/07/15,1715,414,1079,531,720
02/09/15,1400,415,1027,1086,784
02/04/15,1615,415,978,902,677
02/06/15,1730,415,958,774,564
02/07/15,1730,430,1091,714,859
02/10/15,1400,430,1066,688,529
02/09/15,1345,451,1008,1208,711
02/06/15,1715,451,859,932,594
02/04/15,1600,451,980,778,678
02/05/15,1600,451,867,105,776
02/05/15,1545,461,710,1009,653
02/06/15,1700,463,1046,1006,498
02/09/15,1330,463,998,1005,926
02/04/15,1545,463,1023,887,659
02/07/15,1745,468,1109,955,1140
02/10/15,1415,468,1109,889,598
02/03/15,1500,474,989,955,790
02/10/15,1715,474,1039,800,665
02/05/15,1615,474,1164,130,747
02/04/15,1730,484,1019,1234,699
02/04/15,1700,486,962,881,656
02/09/15,1315,489,1006,1117,770
02/06/15,1645,489,987,918,496
02/04/15,1530,489,949,697,690
02/08/15,915,495,1150,976,955
02/10/15,1430,498,1037,1233,509
02/07/15,1800,498,1145,995,1091
02/09/15,1415,500,1088,993,669
02/04/15,1630,500,1062,960,678
02/06/15,1745,500,987,796,555
02/08/15,930,506,1222,987,994
02/06/15,1630,509,1019,976,513
02/09/15,1300,509,921,927,1006
02/04/15,1515,509,1038,699,909
02/10/15,1530,512,1069,913,616
02/03/15,1315,512,114,861,672
02/09/15,900,515,674,995,1067
02/04/15,1715,520,1001,1058,695
02/10/15,1600,523,920,910,668
02/03/15,1345,523,886,873,699
02/08/15,900,530,1112,985,832
02/10/15,1445,530,1311,926,544
02/03/15,1430,531,999,787,731
02/10/15,1645,531,1035,130,732
02/08/15,1700,534,579,970,729
02/09/15,915,534,654,392,1042
02/08/15,1730,536,531,655,754
02/05/15,900,540,931,806,699
02/09/15,1430,541,1074,1179,726
02/08/15,945,541,1120,1027,1077
02/04/15,1645,541,1018,978,691
02/06/15,1800,541,863,939,589
02/04/15,1745,541,1089,715,694
02/08/15,1800,544,657,695,767
02/08/15,1000,545,1300,1103,1088
02/04/15,1800,548,1095,777,612
02/05/15,915,549,1013,943,777
02/04/15,1430,550,1002,967,647
02/06/15,1545,550,1131,936,442
02/09/15,1215,550,886,458,989
02/06/15,1600,554,1151,843,493
02/09/15,1230,554,932,600,213
02/04/15,1445,554,816,569,772
02/08/15,1715,559,574,1033,746
02/08/15,1030,562,973,938,555
02/10/15,1615,565,1042,1009,497
02/03/15,1400,565,862,930,740
02/03/15,1530,568,1065,1065,726
02/05/15,1645,568,1101,800,678
02/10/15,1745,568,1041,784,618
02/08/15,1015,579,1008,848,519
02/05/15,1000,587,1184,655,514
02/09/15,1000,593,696,976,881
02/08/15,1115,595,1116,721,542
02/09/15,930,600,680,425,885
02/10/15,1800,601,1027,1083,851
02/03/15,1545,601,1032,888,828
02/05/15,1700,601,1009,778,664
02/06/15,1615,604,1063,953,482
02/09/15,1245,604,938,731,679
02/04/15,1500,604,741,673,788
02/05/15,930,606,1179,721,513
02/06/15,1530,607,1092,870,456
02/04/15,1415,607,973,837,685
02/05/15,945,607,1123,618,738
02/09/15,1200,607,866,504,896
02/08/15,1130,608,1160,750,596
02/10/15,1700,610,1133,800,733
02/03/15,1445,610,1016,752,836
02/08/15,1745,613,589,653,777
02/08/15,1645,615,531,939,755
02/09/15,945,618,658,848,948
02/08/15,1045,619,1038,707,579
02/04/15,1330,626,1137,1086,1020
02/06/15,1445,626,1030,866,361
02/09/15,1115,626,923,584,1120
02/08/15,1630,627,515,815,643
02/05/15,1115,643,1155,902,485
02/08/15,1200,645,1235,763,616
02/05/15,1330,647,1128,688,597
02/08/15,1100,648,1124,745,539
02/09/15,1015,653,725,923,1001
02/03/15,1415,654,1157,849,741
02/10/15,1630,654,1270,105,700
02/08/15,1145,657,1148,765,568
02/05/15,1315,660,996,710,641
02/04/15,1400,662,1074,1179,656
02/06/15,1515,662,1123,948,361
02/09/15,1145,662,827,467,1241
02/03/15,1600,664,1025,838,801
02/05/15,1715,664,999,784,656
02/05/15,1030,664,990,628,524
02/05/15,1130,667,1166,960,566
02/04/15,1345,671,1206,993,1025
02/06/15,1500,671,1114,891,436
02/09/15,1130,671,885,472,1120
02/08/15,1230,672,1170,941,572
02/06/15,1230,676,1060,1072,569
02/04/15,1115,676,1019,467,726
02/05/15,1400,677,1139,1233,667
02/08/15,1215,678,1074,818,579
02/05/15,1730,683,1016,1083,690
02/03/15,1615,683,996,756,731
02/05/15,1015,685,1231,636,567
02/03/15,1515,693,1009,1001,789
02/05/15,1630,693,1134,800,868
02/10/15,1730,693,1058,778,724
02/05/15,1045,696,1079,887,529
02/05/15,1800,696,1009,865,696
02/03/15,1645,696,1063,838,749
02/04/15,1230,698,1126,927,769
02/06/15,1345,698,711,828,709
02/08/15,1300,699,1123,803,490
02/06/15,1200,705,703,1189,692
02/04/15,1045,705,972,584,593
02/05/15,1100,706,1157,778,593
02/08/15,1245,709,1050,1054,668
02/03/15,900,709,1140,889,430
02/05/15,1745,709,989,789,704
02/03/15,1630,709,1086,730,827
02/06/15,1330,710,731,811,654
02/04/15,1215,710,1039,731,910
02/08/15,1615,715,488,864,1193
02/05/15,1215,717,1262,950,499
02/05/15,1345,725,1081,889,645
02/09/15,1030,726,734,871,1044
02/08/15,1445,726,487,632,523
02/03/15,1700,727,1086,854,715
02/06/15,900,727,1065,832,655
02/05/15,1300,727,1087,628,598
02/06/15,1245,728,1054,1199,613
02/04/15,1130,728,1043,504,1141
02/05/15,1245,730,1009,1173,590
02/05/15,1145,730,1156,978,386
02/08/15,1345,731,1047,862,600
02/08/15,1530,731,583,763,842
02/04/15,1315,732,1166,1208,769
02/09/15,1100,732,836,958,1000
02/06/15,1430,732,761,838,802
02/03/15,1330,737,132,1031,709
